Date of analysis,Country,Total country population,Current from,Current to,Population analyzed current,Phase 3+ number current,Phase 3+ percentage current,Phase 1 number current,Phase 1 percentage current,Phase 2 number current,Phase 2 percentage current,Phase 3 number current,Phase 3 percentage current,Phase 4 number current,Phase 4 percentage current,Phase 5 number current,Phase 5 percentage current,First projection from,First projection to,Population analyzed first projection,Phase 3+ number first projection,Phase 3+ percentage first projection,Phase 1 number first projection,Phase 1 percentage first projection,Phase 2 number first projection,Phase 2 percentage first projection,Phase 3 number first projection,Phase 3 percentage first projection,Phase 4 number first projection,Phase 4 percentage first projection,Phase 5 number first projection,Phase 5 percentage first projection,Second projection from,Second projection to,Population analyzed second projection,Phase 3+ number second projection,Phase 3+ percentage second projection,Phase 1 number second projection,Phase 1 percentage second projection,Phase 2 number second projection,Phase 2 percentage second projection,Phase 3 number second projection,Phase 3 percentage second projection,Phase 4 number second projection,Phase 4 percentage second projection,Phase 5 number second projection,Phase 5 percentage second projection
#date+analysis,#country+code,#population,#date+start+current,#date+end+current,#affected+num+ipc+current+total,#affected+num+ipc+current+p3plus,#affected+pct+ipc+current+p3plus,#affected+num+ipc+current+phase1,#affected+pct+ipc+current+phase1,#affected+num+ipc+current+phase2,#affected+pct+ipc+current+phase2,#affected+num+ipc+current+phase3,#affected+pct+ipc+current+phase3,#affected+num+ipc+current+phase4,#affected+pct+ipc+current+phase4,#affected+num+ipc+current+phase5,#affected+pct+ipc+current+phase5,#date+start+first_projection,#date+end+first_projection,#affected+num+ipc+first_projection+total,#affected+num+ipc+first_projection+p3plus,#affected+pct+ipc+first_projection+p3plus,#affected+num+ipc+first_projection+phase1,#affected+pct+ipc+first_projection+phase1,#affected+num+ipc+first_projection+phase2,#affected+pct+ipc+first_projection+phase2,#affected+num+ipc+first_projection+phase3,#affected+pct+ipc+first_projection+phase3,#affected+num+ipc+first_projection+phase4,#affected+pct+ipc+first_projection+phase4,#affected+num+ipc+first_projection+phase5,#affected+pct+ipc+first_projection+phase5,#date+start+second_projection,#date+end+second_projection,#affected+num+ipc+second_projection+total,#affected+num+ipc+second_projection+p3plus,#affected+pct+ipc+second_projection+p3plus,#affected+num+ipc+second_projection+phase1,#affected+pct+ipc+second_projection+phase1,#affected+num+ipc+second_projection+phase2,#affected+pct+ipc+second_projection+phase2,#affected+num+ipc+second_projection+phase3,#affected+pct+ipc+second_projection+phase3,#affected+num+ipc+second_projection+phase4,#affected+pct+ipc+second_projection+phase4,#affected+num+ipc+second_projection+phase5,#affected+pct+ipc+second_projection+phase5
Oct 2024,AFG,46024352,2024-09-01,2024-10-31,46024354,11610606,0.25,14192140,0.31,20204146,0.44,9798949,0.21,1811656,0.04,0,0,2024-11-01,2025-03-31,46024354,14764724,0.32,12534324,0.27,18725306,0.41,11642486,0.25,3122238,0.07,0,0,,,,,,,,,,,,,,,
Mar 2024,AFG,44532600,2024-03-01,2024-04-30,44532600,14208000,0.32,14114122,0.32,16210478,0.36,11287840,0.25,2920160,0.07,0,0,2024-05-01,2024-10-31,44532600,12369627,0.28,14857610,0.33,17305363,0.39,10000354,0.23,2369273,0.05,0,0,,,,,,,,,,,,,,,
Oct 2023,AFG,44532600,2023-10-01,2023-10-31,44532600,13058639,0.29,13786711,0.31,17687250,0.4,10617293,0.24,2441346,0.05,0,0,2023-11-01,2024-03-31,44532600,15823679,0.36,12319702,0.28,16389218,0.37,12253597,0.28,3570083,0.08,0,0,,,,,,,,,,,,,,,
Apr 2023,AFG,43100596,2023-04-01,2023-04-30,43100598,17213584,0.4,10130341,0.24,15756673,0.36,13854267,0.32,3359317,0.08,0,0,2023-05-01,2023-10-31,43100598,15255335,0.35,11079611,0.26,16765652,0.39,12497192,0.29,2758143,0.06,0,0,,,,,,,,,,,,,,,
Sep 2022,AFG,43100596,2022-09-01,2022-10-31,41727303,16973664,0.41,9354762,0.22,15398877,0.37,12536200,0.3,4437464,0.11,0,0,2022-11-01,2023-03-31,43100596,19903995,0.46,8895869,0.21,14300733,0.33,13823864,0.32,6080130,0.14,0,0,,,,,,,,,,,,,,,
Mar 2022,AFG,41727303,2022-03-01,2022-05-31,41727303,19650163,0.47,7451417,0.18,14625723,0.35,13036510,0.31,6593329,0.16,20324,0,2022-06-01,2022-11-30,41727303,18920522,0.45,8076291,0.2,14730490,0.35,12944658,0.31,5975864,0.14,0,0,,,,,,,,,,,,,,,
Oct 2021,AFG,41727304,2021-09-01,2021-10-31,40411862,18844453,0.47,7953993,0.2,13613416,0.33,11988297,0.3,6856155,0.17,0,0,2021-11-01,2022-03-31,41727304,22813658,0.55,6440549,0.15,12473098,0.3,14073883,0.34,8739775,0.21,0,0,,,,,,,,,,,,,,,
Mar 2021,AFG,32890171,2021-03-01,2021-05-31,31390171,10938928,0.35,8669926,0.28,11781317,0.38,7766480,0.25,3172449,0.1,0,0,2021-06-01,2021-11-30,31390171,9462347,0.3,9694433,0.31,12233391,0.39,6719607,0.21,2742741,0.09,0,0,,,,,,,,,,,,,,,
Sep 2020,AFG,32890171,2020-08-01,2020-10-31,31390171,11149264,0.36,8904766,0.28,11336140,0.36,7544564,0.24,3604700,0.11,0,0,2020-11-01,2021-03-31,31390171,13154519,0.42,7675485,0.24,10560167,0.34,8852083,0.28,4302436,0.14,0,0,,,,,,,,,,,,,,,
Apr 2020,AFG,32225560,2020-04-01,2020-05-31,30725560,10857425,0.35,8925701,0.29,10942434,0.36,7383363,0.24,3474062,0.11,0,0,2020-06-01,2020-11-30,30725560,10313185,0.34,8880776,0.29,11531599,0.38,7006624,0.23,3306561,0.11,0,0,,,,,,,,,,,,,,,
Sep 2019,AFG,32225560,2019-08-01,2019-10-31,30725560,10232241,0.33,10118714,0.33,10374605,0.34,7793849,0.25,2438392,0.08,0,0,2019-11-01,2020-03-31,30725560,11286353,0.37,9989069,0.33,9450138,0.31,8591396,0.28,2694957,0.09,0,0,,,,,,,,,,,,,,,
Sep 2018,AFG,31575018,2018-08-01,2018-10-31,22567065,9838407,0.43,5851033,0.26,6877624,0.3,7255036,0.32,2583371,0.11,0,0,2018-11-01,2019-02-28,22567065,10628512,0.47,5153244,0.23,6785308,0.3,7731348,0.34,2897164,0.13,0,0,,,,,,,,,,,,,,,
Jan 2018,AFG,31575018,2017-11-01,2018-02-28,3926777,1302047,0.33,1099982,0.28,1524747,0.39,891453,0.23,410594,0.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep 2017,AFG,29724323,2017-08-01,2017-11-30,29003956,7605812,0.27,11452456,0.39,9945689,0.34,5710868,0.2,1894944,0.07,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 2017,AFG,29724323,2017-05-01,2017-07-31,2991169,762742,0.26,1085103,0.36,1143324,0.38,477363,0.16,285379,0.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2021,AGO,32097671,2021-06-01,2021-09-30,2667790,1315532,0.49,531260,0.2,820998,0.31,1008245,0.38,307288,0.12,0,0,2021-10-01,2022-03-31,2750124,1583996,0.58,482825,0.18,683303,0.25,1167337,0.42,416660,0.15,0,0,,,,,,,,,,,,,,,
Aug 2019,AGO,31825000,2019-07-01,2019-09-30,903937,421167,0.47,215412,0.23,267052,0.3,199558,0.22,221609,0.25,0,0,2019-10-01,2020-02-29,903937,561836,0.62,148715,0.16,193374,0.21,271607,0.3,290229,0.32,0,0,,,,,,,,,,,,,,,
Oct 2024,BDI,13097396,2024-11-01,2024-12-31,12288863,1880764,0.15,4076967,0.33,6331132,0.52,1702024,0.14,178740,0.01,0,0,2025-01-01,2025-03-31,12288863,1212374,0.1,5151281,0.42,5925208,0.48,1212374,0.1,0,0,0,0,,,,,,,,,,,,,,,
May 2024,BDI,12288863,2024-05-01,2024-05-31,12288863,2192906,0.18,5048937,0.41,5047021,0.41,1964269,0.16,228637,0.02,0,0,2024-06-01,2024-09-30,12288863,1184921,0.1,6283783,0.51,4820159,0.39,1063250,0.09,121671,0.01,0,0,,,,,,,,,,,,,,,
Sep 2023,BDI,12288863,2023-09-01,2023-09-30,12288863,1523197,0.12,5273107,0.43,5492559,0.45,1523197,0.12,0,0,0,0,2023-10-01,2023-12-31,12288863,1881834,0.15,4843200,0.39,5563829,0.45,1717799,0.14,164034,0.01,0,0,2024-01-01,2024-03-31,12288863,1234638,0.1,5497930,0.45,5556296,0.45,1129656,0.09,104982,0.01,0,0
Apr 2023,BDI,12288863,2023-04-01,2023-05-31,12288863,2322303,0.19,4502054,0.37,5464505,0.44,2217321,0.18,104982,0.01,0,0,2023-06-01,2023-09-30,12288863,1156054,0.09,6046068,0.49,5086741,0.41,1156054,0.09,0,0,0,0,,,,,,,,,,,,,,,
Aug 2022,BDI,12045234,2022-06-01,2022-09-30,12045234,1185181,0.1,7514843,0.62,3345210,0.28,1134543,0.1,50637,0,0,0,2022-10-01,2022-12-31,12045234,1403868,0.12,6981059,0.58,3660306,0.3,1353231,0.12,50637,0,0,0,,,,,,,,,,,,,,,
Apr 2022,BDI,12045234,2022-04-01,2022-05-31,12045234,1182686,0.1,7783814,0.65,3078734,0.25,1182686,0.1,0,0,0,0,2022-06-01,2022-09-30,12045234,645667,0.05,8636769,0.72,2762798,0.23,645667,0.05,0,0,0,0,,,,,,,,,,,,,,,
Sep 2021,BDI,12495569,2021-06-01,2021-09-30,11718311,1057992,0.09,6655977,0.57,4004342,0.34,1057992,0.09,0,0,0,0,2021-10-01,2021-12-31,11718311,1442168,0.12,6167417,0.53,4108726,0.35,1442168,0.12,0,0,0,0,2022-01-01,2022-03-31,12045241,1059233,0.09,7047824,0.59,3938184,0.33,1059233,0.09,0,0,0,0
Apr 2021,BDI,12495569,2021-04-01,2021-05-31,11718311,1613419,0.14,5074935,0.43,5029958,0.43,1506739,0.13,106680,0.01,0,0,2021-06-01,2021-09-30,11718311,1044784,0.09,6472948,0.55,4200579,0.36,988419,0.08,56365,0.01,0,0,,,,,,,,,,,,,,,
Aug 2020,BDI,11891000,2020-08-01,2020-09-30,11658048,755517,0.06,7609187,0.65,3293345,0.28,713462,0.06,42054,0,0,0,2020-10-01,2020-12-31,11658048,1334629,0.11,6367987,0.55,3955432,0.34,1206500,0.1,128129,0.01,0,0,,,,,,,,,,,,,,,
May 2020,BDI,11891000,2020-05-01,2020-05-31,10950595,1444440,0.13,5587472,0.51,3918684,0.36,1402386,0.13,42054,0,0,0,2020-06-01,2020-08-31,10950595,858960,0.08,6983311,0.64,3108324,0.28,816907,0.07,42054,0,0,0,,,,,,,,,,,,,,,
Jul 2018,BDI,11178588,2018-07-01,2018-09-30,10950595,1399676,0.13,4851502,0.44,4699418,0.43,1301600,0.12,98076,0.01,0,0,2018-10-01,2018-12-31,10950595,1721763,0.16,0,0,9228832,0.84,1721763,0.16,0,0,0,0,,,,,,,,,,,,,,,
Mar 2018,BDI,11178588,2018-03-01,2018-04-30,10950595,1368824,0.13,6228151,0.57,3353620,0.31,1368824,0.13,0,0,0,0,2018-04-01,2018-05-31,10950595,1669966,0.15,0,0,9280629,0.85,1669966,0.15,0,0,0,0,,,,,,,,,,,,,,,
Jul 2017,BDI,10400938,2017-07-01,2017-09-30,9758864,1764908,0.18,2877920,0.29,5116037,0.52,1471008,0.15,293900,0.03,0,0,2017-10-01,2017-12-31,9758864,2613310,0.27,0,0,7145554,0.73,2613310,0.27,0,0,0,0,,,,,,,,,,,,,,,
Mar 2017,BDI,10400938,2017-04-01,2017-05-31,9758864,2565868,0.26,3159436,0.32,4033560,0.41,1864751,0.19,701117,0.07,0,0,2017-06-01,2017-07-31,9758864,1523734,0.16,0,0,8235129,0.84,1523734,0.16,0,0,0,0,,,,,,,,,,,,,,,
Nov 2024,BEN,12915002,2024-10-01,2024-12-31,12915000,583765,0.05,10214712,0.79,2116522,0.16,583765,0.05,0,0,0,0,2025-06-01,2025-08-31,12915000,531573,0.04,10323892,0.8,2059534,0.16,531573,0.04,0,0,0,0,,,,,,,,,,,,,,,
Mar 2024,BEN,12910087,2024-03-01,2024-05-31,5681269,363718,0.06,4249293,0.75,1068258,0.19,363718,0.06,0,0,0,0,2024-06-01,2024-08-31,10058780,309443,0.03,8442194,0.84,1307143,0.13,309443,0.03,0,0,0,0,,,,,,,,,,,,,,,
Nov 2023,BEN,12915002,2023-10-01,2023-12-31,8783015,255818,0.03,7377416,0.84,1149781,0.13,255818,0.03,0,0,0,0,2024-06-01,2024-08-31,8783015,244775,0.03,7437346,0.85,1100895,0.13,244775,0.03,0,0,0,0,,,,,,,,,,,,,,,
Mar 2023,BEN,12915002,2023-03-01,2023-05-31,12852279,547422,0.04,10434833,0.81,1870025,0.15,532943,0.04,14479,0,0,0,2023-06-01,2023-08-31,13028208,412140,0.03,11038284,0.85,1577784,0.12,401774,0.03,10365,0,0,0,,,,,,,,,,,,,,,
Oct 2022,BEN,12915002,2022-10-01,2022-12-31,7756065,181584,0.02,6534986,0.84,1039495,0.13,181584,0.02,0,0,0,0,2023-06-01,2023-08-31,7756065,174676,0.02,6569807,0.85,1011581,0.13,174676,0.02,0,0,0,0,,,,,,,,,,,,,,,
Mar 2022,BEN,12915002,2022-03-01,2022-05-31,12915000,1225957,0.09,8934565,0.69,2754478,0.21,1183139,0.09,42818,0,0,0,2022-06-01,2022-08-31,12915000,830150,0.06,9766619,0.76,2318231,0.18,806329,0.06,23821,0,0,0,,,,,,,,,,,,,,,
Nov 2021,BEN,12915002,2021-10-01,2021-12-31,2058663,6154,0,1829171,0.89,223338,0.11,6154,0,0,0,0,0,2022-06-01,2022-08-31,2058663,17450,0.01,1737840,0.84,303373,0.15,17450,0.01,0,0,0,0,,,,,,,,,,,,,,,
Oct 2020,BEN,12500000,2020-10-01,2020-12-31,9003837,384655,0.04,6921573,0.77,1697609,0.19,384655,0.04,0,0,0,0,2021-06-01,2021-08-31,9003837,281638,0.03,7285823,0.81,1436375,0.16,281638,0.03,0,0,0,0,,,,,,,,,,,,,,,
Mar 2024,BFA,22969083,2024-03-01,2024-05-31,22969083,1749437,0.07,17064478,0.74,4155168,0.18,1673313,0.07,76124,0,0,0,2024-06-01,2024-08-31,22969083,2734196,0.12,14992187,0.65,5242700,0.23,2310858,0.1,423338,0.02,0,0,,,,,,,,,,,,,,,
Nov 2023,BFA,22969083,2023-10-01,2023-12-31,22969083,2278031,0.1,16069326,0.7,4621726,0.2,2016883,0.09,261147,0.01,0,0,2024-06-01,2024-08-31,22969083,2998379,0.13,14639943,0.64,5330760,0.23,2573031,0.11,425349,0.02,0,0,,,,,,,,,,,,,,,
Mar 2023,BFA,21253895,2023-03-01,2023-05-31,22298828,2195758,0.09,15825482,0.71,4277588,0.19,1882045,0.08,291234,0.01,22480,0,2023-06-01,2023-08-31,22298828,3351049,0.15,13815228,0.62,5132550,0.23,2703713,0.12,604642,0.03,42694,0,,,,,,,,,,,,,,,
Nov 2022,BFA,21253895,2022-10-01,2022-12-31,22227578,2618638,0.12,14933877,0.67,4675064,0.21,2275170,0.1,341650,0.02,1817,0,2023-06-01,2023-08-31,22227578,3533220,0.15,13069239,0.59,5625119,0.25,2966900,0.13,546454,0.02,19867,0,,,,,,,,,,,,,,,
Mar 2022,BFA,21253895,2022-03-01,2022-05-31,21253895,2366447,0.12,14458618,0.68,4428830,0.21,2042709,0.1,323739,0.02,0,0,2022-06-01,2022-08-31,21253895,3453511,0.16,12468940,0.59,5331444,0.25,2825046,0.13,628464,0.03,0,0,,,,,,,,,,,,,,,
Nov 2021,BFA,21880805,2021-10-01,2021-12-31,21880806,1645939,0.08,16419720,0.75,3815147,0.17,1529104,0.07,116835,0.01,0,0,2022-06-01,2022-08-31,21880806,2632503,0.12,14153777,0.65,5094526,0.23,2196110,0.1,436393,0.02,0,0,,,,,,,,,,,,,,,
Mar 2021,BFA,21706163,2021-03-01,2021-05-31,21706166,2076319,0.1,15884070,0.73,3745776,0.17,1898955,0.09,177364,0.01,0,0,2021-06-01,2021-08-31,21706166,2867061,0.14,14074881,0.65,4764224,0.22,2522691,0.12,344370,0.02,0,0,,,,,,,,,,,,,,,
Nov 2020,BFA,22049277,2020-10-01,2020-12-31,22049278,2020039,0.1,14705746,0.67,5323492,0.24,1887022,0.09,133016,0.01,0,0,2021-06-01,2021-08-31,22049278,2726900,0.12,12957852,0.59,6364525,0.29,2472506,0.11,254394,0.01,0,0,,,,,,,,,,,,,,,
Feb 2024,BGD,165158616,2024-02-01,2024-03-31,74209497,14581885,0.2,31742270,0.42,27885342,0.38,14254138,0.19,327747,0.01,0,0,2024-04-01,2024-10-31,74283840,16530681,0.22,29251031,0.39,28502128,0.38,15745272,0.21,785409,0.01,0,0,,,,,,,,,,,,,,,
Mar 2023,BGD,165158616,2023-03-01,2023-04-30,38236840,8906604,0.24,15786775,0.41,13543460,0.35,7932649,0.21,973955,0.03,0,0,2023-05-01,2023-09-30,38236840,11914086,0.31,13425038,0.35,12897716,0.34,9694196,0.25,2219890,0.06,0,0,,,,,,,,,,,,,,,
Nov 2019,BGD,163069553,,,163306055,34872758,0.21,69953474,0.43,58479823,0.36,23208124,0.14,11664633,0.07,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct 2024,CAF,6470307,2024-09-01,2025-03-31,6470313,1970683,0.31,1746917,0.27,2752713,0.43,1663412,0.26,307271,0.05,0,0,2025-04-01,2025-08-31,6470313,2250572,0.35,1519494,0.23,2700247,0.42,1820048,0.28,430524,0.07,0,0,,,,,,,,,,,,,,,
Apr 2024,CAF,6091097,,,,,,,,,,,,,,,,2024-04-01,2024-08-31,6128671,2534048,0.41,1279495,0.21,2315129,0.38,2026146,0.33,507902,0.08,0,0,,,,,,,,,,,,,,,
Sep 2023,CAF,6128671,2023-09-01,2024-03-31,6128671,2019858,0.33,1603687,0.26,2505127,0.41,1669168,0.27,350690,0.06,0,0,2024-04-01,2024-08-31,6128671,2516926,0.41,1261221,0.21,2350523,0.38,1996258,0.33,520668,0.08,0,0,,,,,,,,,,,,,,,
Apr 2023,CAF,6128671,2023-04-01,2023-08-31,6128671,2388086,0.39,1559101,0.25,2181483,0.36,1766459,0.29,621627,0.1,0,0,2023-09-01,2024-03-31,6128671,2063990,0.34,1788738,0.29,2275942,0.37,1685592,0.28,378399,0.06,0,0,,,,,,,,,,,,,,,
Sep 2022,CAF,6091097,2022-09-01,2023-03-31,6091097,2652693,0.44,1434325,0.23,2004079,0.33,2011128,0.33,641565,0.11,0,0,2023-04-01,2023-08-31,6091097,2990342,0.49,1235525,0.2,1865230,0.31,2183556,0.36,806785,0.13,0,0,,,,,,,,,,,,,,,
Mar 2022,CAF,5677026,,,,,,,,,,,,,,,,2022-04-01,2022-08-31,4946679,2208902,0.45,1226085,0.24,1511692,0.31,1570882,0.32,638021,0.13,0,0,,,,,,,,,,,,,,,
Sep 2021,CAF,5677026,2021-09-01,2022-03-31,4942732,2095278,0.43,1194811,0.24,1652643,0.33,1475713,0.3,619565,0.13,0,0,2022-04-01,2022-08-31,4942732,2359937,0.48,1054513,0.21,1528283,0.31,1671055,0.34,688882,0.14,0,0,,,,,,,,,,,,,,,
Feb 2021,CAF,4900000,,,,,,,,,,,,,,,,2021-04-01,2021-08-31,4879385,2289736,0.47,998450,0.2,1591200,0.33,1657212,0.34,632524,0.13,0,0,,,,,,,,,,,,,,,
Sep 2020,CAF,4830000,2020-09-01,2021-04-30,4744003,1928609,0.41,1058613,0.22,1756781,0.37,1520732,0.32,407877,0.09,0,0,2021-05-01,2021-08-31,4842192,2314676,0.48,899335,0.19,1628182,0.34,1789989,0.37,524686,0.11,0,0,,,,,,,,,,,,,,,
Apr 2020,CAF,4830000,,,,,,,,,,,,,,,,2020-05-01,2020-08-31,4596014,2362737,0.51,605236,0.13,1619209,0.35,1608758,0.35,753979,0.16,0,0,,,,,,,,,,,,,,,
Sep 2019,CAF,4826000,2019-09-01,2020-04-30,4596014,1615304,0.35,1251017,0.27,1729594,0.38,1241886,0.27,373418,0.08,0,0,2020-05-01,2020-08-31,4596014,2123266,0.47,879689,0.19,1592981,0.35,1450049,0.32,673217,0.15,0,0,,,,,,,,,,,,,,,
May 2019,CAF,4826000,2019-05-01,2019-08-31,4391870,1809109,0.42,796756,0.17,1786004,0.41,1343336,0.31,465773,0.11,0,0,2019-09-01,2019-10-31,4684555,1346948,0.29,1158015,0.24,2179592,0.47,1073042,0.23,273906,0.06,0,0,,,,,,,,,,,,,,,
Sep 2018,CAF,4684517,2018-08-01,2018-08-31,4442612,1898963,0.42,702450,0.16,1841199,0.41,1351826,0.3,547137,0.12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 2018,CAF,4946113,2018-03-01,2018-03-31,4759818,1635140,0.34,1047650,0.22,2077029,0.44,1150351,0.24,484789,0.1,0,0,2018-04-01,2018-08-31,4759818,2032173,0.42,868503,0.18,1849990,0.39,1345304,0.28,686869,0.14,0,0,,,,,,,,,,,,,,,
Feb 2017,CAF,5711072,2017-02-01,2017-05-31,3667906,1110028,0.31,1038686,0.28,1519192,0.41,794156,0.22,315872,0.09,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov 2024,CIV,24601202,2024-10-01,2024-12-31,24601202,693659,0.03,20264094,0.82,3643450,0.15,693659,0.03,0,0,0,0,2025-06-01,2025-08-31,24601202,928820,0.04,19291771,0.78,4380610,0.18,928820,0.04,0,0,0,0,,,,,,,,,,,,,,,
Mar 2024,CIV,31089121,2024-03-01,2024-05-31,23943267,900575,0.04,19186269,0.8,3856423,0.16,900575,0.04,0,0,0,0,2024-06-01,2024-08-31,23943267,922490,0.04,19197795,0.8,3822982,0.16,922490,0.04,0,0,0,0,,,,,,,,,,,,,,,
Nov 2023,CIV,29389150,2023-10-01,2023-12-31,23943267,800985,0.03,19931507,0.83,3210775,0.13,800985,0.03,0,0,0,0,2024-06-01,2024-08-31,23943267,1001819,0.04,18889668,0.79,4051781,0.17,1001819,0.04,0,0,0,0,,,,,,,,,,,,,,,
Mar 2023,CIV,29389150,2023-03-01,2023-05-31,21811388,870329,0.04,18025849,0.83,2915210,0.13,870329,0.04,0,0,0,0,2023-06-01,2023-08-31,21811388,1017799,0.05,17337572,0.79,3456017,0.16,1017799,0.05,0,0,0,0,,,,,,,,,,,,,,,
Oct 2022,CIV,29389150,2022-10-01,2022-12-31,21055640,849333,0.04,16810857,0.8,3395450,0.16,812942,0.04,36391,0,0,0,2023-06-01,2023-08-31,21055640,995994,0.05,16359685,0.78,3699961,0.18,959537,0.05,36457,0,0,0,,,,,,,,,,,,,,,
Mar 2022,CIV,27725186,2022-03-01,2022-05-31,7076154,305957,0.04,5415303,0.77,1354894,0.19,305957,0.04,0,0,0,0,2022-06-01,2022-08-31,16059751,662002,0.04,12294031,0.77,3103718,0.19,662002,0.04,0,0,0,0,,,,,,,,,,,,,,,
Oct 2021,CIV,27725186,2021-10-01,2021-12-31,16059751,944561,0.06,12303872,0.77,2811318,0.18,944561,0.06,0,0,0,0,2022-06-01,2022-08-31,16059751,866812,0.05,12103666,0.75,3089274,0.19,866812,0.05,0,0,0,0,,,,,,,,,,,,,,,
Mar 2021,CIV,26453539,2021-03-01,2021-05-31,12757736,487290,0.03,10101534,0.79,2168912,0.17,443749,0.03,43542,0,0,0,2021-06-01,2021-08-31,12757736,580628,0.04,9688098,0.76,2489010,0.2,521857,0.04,58771,0,0,0,,,,,,,,,,,,,,,
Oct 2020,CIV,26453539,2020-10-01,2020-12-31,6181235,210027,0.03,5001940,0.81,969269,0.16,210027,0.03,0,0,0,0,2021-06-01,2020-08-31,6181235,186670,0.03,5013136,0.81,981428,0.16,186670,0.03,0,0,0,0,,,,,,,,,,,,,,,
Mar 2024,CMR,27816297,2024-03-01,2024-05-31,27816297,2796436,0.1,19382007,0.7,5637855,0.2,2711674,0.1,84762,0,0,0,2024-06-01,2024-08-31,27816297,2465493,0.08,20233786,0.73,5117018,0.18,2352165,0.08,113328,0,0,0,,,,,,,,,,,,,,,
Nov 2023,CMR,27190906,2023-10-01,2023-12-31,27816297,2939648,0.11,19105297,0.69,5771352,0.21,2939648,0.11,0,0,0,0,2024-06-01,2024-08-31,27816297,2504329,0.09,20103186,0.72,5208782,0.19,2504329,0.09,0,0,0,0,,,,,,,,,,,,,,,
Mar 2023,CMR,27190906,2023-03-01,2023-05-31,27122929,3012103,0.11,18017108,0.66,6093718,0.22,2676204,0.1,335899,0.01,0,0,2023-06-01,2023-08-31,27122929,2357305,0.09,19554013,0.72,5211611,0.19,2088718,0.08,268587,0.01,0,0,,,,,,,,,,,,,,,
Oct 2022,CMR,27190906,2022-10-01,2022-12-31,27190905,3597014,0.13,16825442,0.62,6768449,0.25,3356781,0.12,240233,0.01,0,0,2023-06-01,2023-08-31,27190905,3234556,0.12,17904328,0.66,6052021,0.22,3028257,0.11,206299,0.01,0,0,,,,,,,,,,,,,,,
Mar 2022,CMR,26553619,2022-03-01,2022-05-31,26553615,2865906,0.11,17605477,0.66,6082233,0.23,2612053,0.1,253853,0.01,0,0,2022-06-01,2022-08-31,26553615,2413288,0.09,18450739,0.69,5689589,0.21,2228137,0.08,185150,0.01,0,0,,,,,,,,,,,,,,,
Oct 2021,CMR,26553619,2021-10-01,2021-12-31,26553615,2430110,0.1,17478088,0.66,6645417,0.25,2272872,0.09,157238,0.01,0,0,2022-06-01,2022-08-31,26553615,2383868,0.09,17878586,0.67,6291161,0.24,2206249,0.08,177619,0.01,0,0,,,,,,,,,,,,,,,
Mar 2021,CMR,25931268,2021-03-01,2021-05-31,25931268,2625472,0.1,17458393,0.67,5847403,0.23,2364914,0.09,260558,0.01,0,0,2021-06-01,2021-08-31,25931268,1920802,0.08,19493119,0.75,4517348,0.17,1700201,0.07,220601,0.01,0,0,,,,,,,,,,,,,,,
Oct 2020,CMR,25931269,2020-10-01,2020-12-31,25931268,2688462,0.1,17070366,0.66,6182351,0.24,2588265,0.1,100197,0,0,0,2021-06-01,2021-08-31,25931268,2284344,0.09,18078644,0.7,5570917,0.21,2211680,0.09,72664,0,0,0,,,,,,,,,,,,,,,
Sep 2024,COD,118153541,2024-09-01,2024-12-31,115881715,25552751,0.22,39378420,0.34,50950544,0.44,22436761,0.19,3115990,0.03,0,0,2025-01-01,2025-06-30,115881715,25494607,0.22,38916344,0.34,51470764,0.44,22243071,0.19,3251536,0.03,0,0,,,,,,,,,,,,,,,
Nov 2023,COD,113607141,,,101517967,40899902,0.4,30759777,0.3,29858288,0.29,25100769,0.25,15799133,0.16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug 2023,COD,113607141,2023-07-01,2023-12-31,109594986,25397915,0.23,34456568,0.32,49740503,0.45,21866626,0.2,3531289,0.03,0,0,2024-01-01,2024-06-30,109594986,23410347,0.22,33840846,0.3,52343793,0.48,20465066,0.19,2945282,0.03,0,0,,,,,,,,,,,,,,,
Apr 2023,COD,109569000,,,,,,,,,,,,,,,,2023-01-01,2023-06-30,102971764,25840744,0.25,30289024,0.29,46841996,0.45,22459941,0.22,3380803,0.03,0,0,,,,,,,,,,,,,,,
Jul 2022,COD,109569000,2022-07-01,2022-12-31,102971764,26429377,0.26,31653557,0.31,44888830,0.44,22597681,0.22,3831695,0.04,0,0,2023-01-01,2023-06-30,102971764,24520458,0.24,31259083,0.3,47192223,0.46,21707327,0.21,2813131,0.03,0,0,,,,,,,,,,,,,,,
Sep 2021,COD,115195751,2021-09-01,2021-12-31,102259069,27020164,0.26,30793333,0.3,44445573,0.43,20915406,0.2,6104757,0.06,0,0,2022-01-01,2022-06-30,105251041,25879508,0.25,31540609,0.3,47830924,0.45,20463608,0.2,5415900,0.05,0,0,,,,,,,,,,,,,,,
